,,Datasets,Metadata-source,Owner,Formats,RDF,DCAT-AP,Fecha creacion,Update,Periodicidad,Open Data License,Datos secundarios,Proyecto al que pertenece
Información cartográfica,,,,,,,,,,,,,MGDS 
,Callejero de Madrid,https://geoportal.madrid.es/IDEAM_WBGEOPORTAL/dataset.iam?id=96a4719d-29f0-11e9-874b-ecb1d752b636,Geoportal Ayto Madrid,Ayuntamiento de Madrid,,,,,diaria,,https://datos.madrid.es/egob/catalogo/aviso-legal,,
,Altimeria de la Comunidad de Madrid curvas maestrras,https://datos.comunidad.madrid/catalogo/dataset/spacmaltimetria1002000,Datos Abiertos CAM,CAM,"JSON,WMS,SHP",,,15/03/2019,18/03/2019,sin definir,https://creativecommons.org/licenses/by/4.0/legalcode.es,"https://idem.madrid.org/geoidem/wms?LAYERS=Elevaciones:SIGI_MA_ALTIMETRIA_100,Comun:SIGI_ES_PROVINCIAS&STYLES=&FORMAT=image/png&SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&SRS=EPSG:23030&BBOX=358000,4410000,502000,4561000&WIDTH=336&HEIGHT=336&CQL_FILTER=1=1;CDPROVINCIA=28",
,Distribución de hojas del Mapa Topográfico Escala.- 1:10000 de la Comunidad de Madrid,https://www.europeandataportal.eu/data/datasets/https-datos-comunidad-madrid-catalogo-dataset-spacmhojas10000etrs8920092011?locale=hu,Google dataset research,CAM,"RDF,XML,JSON,TURTLE",https://www.europeandataportal.eu/data/api/datasets/https-datos-comunidad-madrid-catalogo-dataset-spacmhojas10000etrs8920092011.rdf?useNormalizedId=true&locale=hu,,15/03/2019,18/03/2019,sin definir,https://datos.comunidad.madrid/catalogo/dataset/spacmhojas10000etrs8920092011,,
,Altimetria de la comunidad de madrid cada 20 m,https://datos.comunidad.madrid/catalogo/dataset/spacmaltimetria20m2000,Datos Abiertos CAM,CAM,"JSON,WMS,SHP",,,15/03/2019,18/03/2019,sin definir,https://creativecommons.org/licenses/by/4.0/legalcode.es,http://www.madrid.org/cartografia/staticFiles/catalogo/img/ma_curva_nivel_50.png,
,Mapa Digital Continuo de Vegetación de la Comunidad de Madrid,https://datos.comunidad.madrid/catalogo/dataset/spacmveg2006,Datos Abiertos CAM,CAM,"WMS,SHP",,,15/03/2019,18/03/2019,sin definir,https://creativecommons.org/licenses/by/4.0/legalcode.es,http://www.madrid.org/cartografia/staticFiles/catalogo/img/ma_vegetacionl.png,
,Cartografia del ayuntamiento de madrid,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=3c2546f861be2410VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Datos Abiertos Ayto Madrid,Ayuntamiento de Madrid,"RDF,XML,CSV,JSON,TURTLE",https://www.europeandataportal.eu/data/api/datasets/https-datos-madrid-es-egob-catalogo-200042-0-servicio-mapas.rdf?useNormalizedId=true&locale=nl,https://datos.madrid.es/egob/catalogo/200042-0-servicio-mapas.dcat,12/03/2014,2/03/2017,anual,https://datos.madrid.es/egob/catalogo/aviso-legal,https://sede.madrid.es/portal/site/tramites/menuitem.d3089948cb18b1bb68d8a521ecd08a0c/?vgnextoid=731cdd9d6baed010VgnVCM2000000c205a0aRCRD&vgnextchannel=23a99c5ffb020310VgnVCM100000171f5a0aRCRD,
,Mapa de sombras,https://geoportal.madrid.es/IDEAM_WBGEOPORTAL/dataset.iam?id=600ab246-e906-6666-83dd-ecb1d752b636,Geoportal Ayto Madrid,Ayuntamiento de Madrid,KML,https://geoportal.madrid.es/IDEAM_WBGEOPORTAL/dcat?id=600ab246-e906-6666-83dd-ecb1d752b636,,,26/07/2016,,https://datos.madrid.es/egob/catalogo/aviso-legal,,
,Cartografia 1:1000 2016,https://geoportal.madrid.es/IDEAM_WBGEOPORTAL/dataset.iam?id=383a5215-198d-11e9-97d2-ecb1d753f6e8,Geoportal Ayto Madrid,Ayuntamiento de Madrid,SHP,https://geoportal.madrid.es/IDEAM_WBGEOPORTAL/dcat?id=383a5215-198d-11e9-97d2-ecb1d753f6e8,,,26/07/2016,,https://datos.madrid.es/egob/catalogo/aviso-legal,,
,Fisiografia de la comunidad de madrid ,https://datos.comunidad.madrid/catalogo/dataset/spacmfisiografia500m,Datos Abiertos CAM,CAM,"JSON,WMS,SHP",,,15/03/2019,18/03/2019,sin definir,https://creativecommons.org/licenses/by/4.0/legalcode.es,"https://idem.madrid.org/geoidem/wms?LAYERS=SIGI_MA_FISIOGRAFIA_500M,SIGI_ES_PROVINCIAS&STYLES=&FORMAT=image/png&SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&SRS=EPSG:25830&BBOX=358000,4410000,502000,4561000&WIDTH=336&HEIGHT=336&CQL_FILTER=1=1;CDPROVINCIA=28",
